Disaster_ID,Disaster_Type,Location,Magnitude,Date,Fatalities,Economic_Loss($)
1,Kebakaran,Brazil,6.2673926276815095,2024-01-01 00:00:00,9706,650979004.0247917
2,Angin Topan,Indonesia,6.64935786286365,2024-01-01 01:00:00,2233,553835714.9971709
3,Tornado,China,9.724365973472622,2024-01-01 02:00:00,478,69109975.54626009
4,Banjir,India,1.7025050128215637,2024-01-01 03:00:00,2867,847488044.1764593
5,Banjir,Brazil,7.917748011412222,2024-01-01 04:00:00,776,644929745.9808252
6,Tornado,China,2.717113008599857,2024-01-01 05:00:00,3534,574465547.7683645
7,Angin Topan,India,6.491890634240094,2024-01-01 06:00:00,8220,342428649.4224654
8,Gempa Bumi,China,2.652747469294584,2024-01-01 07:00:00,2261,697554915.1147318
9,Banjir,Brazil,8.157574165374776,2024-01-01 08:00:00,5016,720960902.8379518
10,Banjir,India,1.0241866427623108,2024-01-01 09:00:00,5135,998583347.2911227
11,Gempa Bumi,Indonesia,8.405111071706369,2024-01-01 10:00:00,8636,301620439.6357995
12,Banjir,USA,9.465754017318455,2024-01-01 11:00:00,439,350737478.35091716
13,Gempa Bumi,USA,6.143754196292025,2024-01-01 12:00:00,206,570378176.6838186
14,Gempa Bumi,China,8.948562576656371,2024-01-01 13:00:00,2176,452037092.45622116
15,Gempa Bumi,Indonesia,8.298958692681332,2024-01-01 14:00:00,3512,688364608.3828303
16,Angin Topan,Japan,6.850348155717872,2024-01-01 15:00:00,5423,720480066.3499309
17,Tornado,Indonesia,8.368748853298573,2024-01-01 16:00:00,4682,365297720.1269638
18,Kebakaran,India,4.81366480445072,2024-01-01 17:00:00,1720,183142032.67301875
19,Gempa Bumi,Japan,4.589685578220729,2024-01-01 18:00:00,3615,841308023.5412865
20,Gempa Bumi,Japan,9.546150647587119,2024-01-01 19:00:00,142,470365410.50753623
21,Gempa Bumi,India,6.229724704583683,2024-01-01 20:00:00,8823,243134578.85005108
22,Angin Topan,USA,5.6720289292858705,2024-01-01 21:00:00,593,884922999.79834
23,Angin Topan,Indonesia,8.80221179529412,2024-01-01 22:00:00,7954,153131596.03101614
24,Angin Topan,USA,3.619608237874318,2024-01-01 23:00:00,3763,107650734.85037431
25,Kebakaran,USA,2.211183422357643,2024-01-02 00:00:00,9780,313702258.79681915
26,Banjir,China,2.003895812795447,2024-01-02 01:00:00,2415,970430242.1578988
27,Angin Topan,Brazil,9.696287973047776,2024-01-02 02:00:00,1523,856200324.4708405
28,Banjir,Indonesia,5.933946341655817,2024-01-02 03:00:00,8386,462335970.87352985
29,Banjir,China,7.015748036081089,2024-01-02 04:00:00,3675,823567866.4598384
30,Tornado,India,8.254696501735088,2024-01-02 05:00:00,9403,912318985.443098
31,Angin Topan,Indonesia,9.70979098673643,2024-01-02 06:00:00,59,92082187.70704757
32,Angin Topan,China,6.896664400909083,2024-01-02 07:00:00,8956,237191816.30319074
33,Banjir,Brazil,5.551984641951059,2024-01-02 08:00:00,2263,125198816.0385722
34,Angin Topan,Japan,6.104293091226247,2024-01-02 09:00:00,856,36719660.86813793
35,Kebakaran,Brazil,9.558284597597979,2024-01-02 10:00:00,4946,371790741.32691616
36,Gempa Bumi,Japan,4.653539587428651,2024-01-02 11:00:00,3459,533489978.7625953
37,Angin Topan,China,9.728581333095967,2024-01-02 12:00:00,3720,744204758.6507398
38,Banjir,Indonesia,5.489677540384725,2024-01-02 13:00:00,1244,34230186.62204816
39,Tornado,Brazil,5.486963915349432,2024-01-02 14:00:00,1175,709471742.0976558
40,Tornado,China,2.3058269657237123,2024-01-02 15:00:00,8778,390260203.3986024
41,Tornado,Japan,4.66563277972036,2024-01-02 16:00:00,1715,555275050.8795121
42,Banjir,China,7.327488742338145,2024-01-02 17:00:00,7056,784704507.8388357
43,Angin Topan,Indonesia,6.9816267312286815,2024-01-02 18:00:00,3267,126603026.35724379
44,Angin Topan,Brazil,1.150600310922632,2024-01-02 19:00:00,9842,929421240.7850996
45,Tornado,Brazil,6.69650995129891,2024-01-02 20:00:00,1458,178748896.45753253
46,Gempa Bumi,India,8.16447946441236,2024-01-02 21:00:00,8312,21404091.57628989
47,Kebakaran,Brazil,9.44919392391293,2024-01-02 22:00:00,2856,985168936.4381572
